Name,Location,Categories,Founded,IPO
angellist,"San Francisco Bay Area, West Coast, Western US","Angel Investment, Finance, Funding Platform, Internet","Jan 1, 2010",Private
dollar-shave-club,"Greater Los Angeles Area, West Coast, Western US","E-Commerce, Internet, Retail",2011,Private
bubble,"Greater New York Area, East Coast, Northeastern US","Education, Software, Training, Web Development","Jun 20, 2012",Private
xometry,"Washington DC Metro Area, East Coast, Southern US","3D Printing, Industrial Engineering, Manufacturing",Dec 2013,Private
newscred,"Greater New York Area, East Coast, Northeastern US","Advertising, Content Marketing, Digital Marketing, Journalism, Publishing",2008,Private
security-scorecard,"Greater New York Area, East Coast, Northeastern US","Cloud Computing, Cloud Infrastructure, Cyber Security, Information Technology, Risk Management, SaaS, Security",2013,Private
buzzfeed,"Greater New York Area, East Coast, Northeastern US","Digital Entertainment, Internet, Journalism, News, Publishing, Social, Social News, Video",Nov 2006,Private
affirm,"San Francisco Bay Area, West Coast, Western US","Consumer Lending, E-Commerce, Financial Services, FinTech, Payments, Personal Finance, Retail",2012,Private
chime,Great Lakes,"Browser Extensions, Internet, Web Browsers",2013,Private
100-thieves,"Greater Los Angeles Area, West Coast, Western US","Digital Media, eSports, Gaming, Online Games, PC Games",2016,Private
beats-by-dr-dre,"Greater Los Angeles Area, West Coast, Western US","Consumer Electronics, Hardware, Manufacturing, Media and Entertainment, Music, Software",2006,Private
recursion-pharmaceuticals,Western US,"Artificial Intelligence, Bioinformatics, Biotechnology, Pharmaceutical, Wellness","Nov 5, 2013",Private
alphasense,"Greater New York Area, East Coast, Northeastern US","Analytics, Artificial Intelligence, Finance, FinTech, Information Technology, Search Engine, Software",2010,Private
change-healthcare,Southern US,"Education, Health Care, Information Technology",2005,Public
ginkgo-bioworks,"Greater Boston Area, East Coast, New England","Alternative Medicine, Biopharma, Biotechnology, Chemical, Health Care, Life Science, Medical, Nutrition",2009,Private
acutus-medical,"Greater San Diego Area, West Coast, Western US","Biotechnology, Health Care, Health Diagnostics, Medical Device",2011,Private
airbnb,"San Francisco Bay Area, West Coast, Western US","Hospitality, Marketplace, Peer to Peer, Sharing Economy, Travel, Travel Accommodations","Aug 11, 2008",Private
acorns-grow,"Greater Los Angeles Area, West Coast, Western US","Apps, Finance, Financial Services, FinTech, Mobile, Wealth Management","Feb 29, 2012",Private
masterclass,"San Francisco Bay Area, West Coast, Western US","Digital Media, Education, Internet",2012,Private
